iteration 660 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.58 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 670 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.54 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 680 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.50 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 690 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.46 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 700 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.43 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 710 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.39 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 720 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.36 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 730 done, current best likelihood: -1803.0146142413519, current acceptance ratio is 2.47 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 740 done, current best likelihood: -1803.0146142413519, current acceptance ratio is 2.43 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 750 done, current best likelihood: -1803.0146142413519, current acceptance ratio is 2.40 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 760 done, current best likelihood: -1803.0146142413519, current acceptance ratio is 2.37 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 770 done, current best likelihood: -1803.0146142413519, current acceptance ratio is 2.34 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 780 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.44 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 790 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.41 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 800 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.38 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 810 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.35 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 820 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.32 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 830 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.29 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 840 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.26 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 850 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.24 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 860 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.21 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 870 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.18 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 880 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.16 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 890 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.13 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 900 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.11 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 910 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.09 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 920 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.07 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 930 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.04 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 940 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.02 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 950 done, current best likelihood: -1803.438938508242, current acceptance ratio is 2.00 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 960 done, current best likelihood: -1803.438938508242, current acceptance ratio is 1.98 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 970 done, current best likelihood: -1803.438938508242, current acceptance ratio is 1.96 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 980 done, current best likelihood: -1803.438938508242, current acceptance ratio is 1.94 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 990 done, current best likelihood: -1803.438938508242, current acceptance ratio is 1.92 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 1000 done, current best likelihood: -1803.438938508242, current acceptance ratio is 1.90 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
